1020450;-30,9;01.01.2022;31.12.2999
1020450;-30,9;01.01.2022;31.12.2999
1290010;-21,5;01.05.2005;31.12.2999
1290010;-21,5;01.05.2005;31.12.2999
2200050;-25;01.12.2017;31.12.2999
2200050;-25;01.12.2017;31.12.2999
2200050;-25;01.12.2017;31.12.2999
2200050;-25;01.12.2017;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2040110;-15;28.11.2002;31.12.2999
2040110;-15;28.11.2002;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
1420370;-25,5;01.05.2005;31.12.2999
1420370;-25,5;01.05.2005;31.12.2999
1030240;-28;01.07.2005;31.12.2999
1030240;-28;01.07.2005;31.12.2999
1020460;-30,9;01.01.2022;31.12.2999
1020460;-30,9;01.01.2022;31.12.2999
211003001;-34,4;01.10.2021;31.12.2999
211003001;-34,4;01.10.2021;31.12.2999
2030010;-25;08.12.2015;31.12.2999
2030010;-25;08.12.2015;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
1440100;-31;01.01.2022;31.12.2999
1440100;-31;01.01.2022;31.12.2999
1080100;-18;01.05.2005;31.12.2999
1080100;-18;01.05.2005;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
1440030;-31,5;24.06.2020;31.12.2999
1440030;-31,5;24.06.2020;31.12.2999
1170140;-21,5;01.05.2005;31.12.2999
1170140;-21,5;01.05.2005;31.12.2999
202037001;-29;01.07.2011;31.12.2999
202037001;-29;01.07.2011;31.12.2999
1370080;-29,5;26.02.2008;31.12.2999
1370080;-29,5;26.02.2008;31.12.2999
1020450;-30,9;01.01.2022;31.12.2999
1020450;-30,9;01.01.2022;31.12.2999
1260060;-34,4;01.10.2021;31.12.2999
1260060;-34,4;01.10.2021;31.12.2999
1250460;-25;12.03.2019;31.12.2999
1250460;-25;12.03.2019;31.12.2999
1080470;-34,4;01.10.2021;31.12.2999
1080470;-34,4;01.10.2021;31.12.2999
1470010;-28,5;01.04.2019;31.12.2999
1470010;-28,5;01.04.2019;31.12.2999
2110050;-25;01.01.2008;31.12.2999
2110050;-25;01.01.2008;31.12.2999
1440270;-31;01.01.2022;31.12.2999
1440270;-31;01.01.2022;31.12.2999
213029001;-17;01.05.2007;31.12.2999
213029001;-17;01.05.2007;31.12.2999
1330320;-26,5;01.03.2006;31.12.2999
1330320;-26,5;01.03.2006;31.12.2999
1480200;-15;02.12.2021;31.12.2999
1480200;-15;02.12.2021;31.12.2999
220026001;-13;01.05.2005;31.12.2999
220026001;-13;01.05.2005;31.12.2999
1020450;-30,9;01.01.2022;31.12.2999
1020450;-30,9;01.01.2022;31.12.2999
1020450;-30,9;01.01.2022;31.12.2999
1020450;-30,9;01.01.2022;31.12.2999
1230020;-28;01.05.2005;31.12.2999
1230020;-28;01.05.2005;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
1350390;-21;30.11.2015;31.12.2999
1350390;-21;30.11.2015;31.12.2999
2080120;-15;01.01.2004;31.12.2999
2080120;-15;01.01.2004;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
1440270;-31;01.01.2022;31.12.2999
1440270;-31;01.01.2022;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
1180020;-28;01.04.2011;31.12.2999
1180020;-28;01.04.2011;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
209048001;-8;01.05.2005;31.12.2999
209048001;-8;01.05.2005;31.12.2999
1020450;-30,9;01.01.2022;31.12.2999
1020450;-30,9;01.01.2022;31.12.2999
2010500;-25;01.01.2008;31.12.2999
2010500;-25;01.01.2008;31.12.2999
1080210;-31,5;04.01.2017;31.12.2999
1080210;-31,5;04.01.2017;31.12.2999
1040300;-27;29.06.2009;31.12.2999
1040300;-27;29.06.2009;31.12.2999
2080120;-15;01.01.2004;31.12.2999
2080120;-15;01.01.2004;31.12.2999
126006001;-34,4;01.10.2021;31.12.2999
126006001;-34,4;01.10.2021;31.12.2999
2010390;-25;01.06.2019;31.12.2999
2010390;-25;01.06.2019;31.12.2999
1440410;-31;01.01.2022;31.12.2999
1440410;-31;01.01.2022;31.12.2999
122011001;-30,5;01.10.2007;31.12.2999
122011001;-30,5;01.10.2007;31.12.2999
1020250;-21,5;01.05.2005;31.12.2999
1020250;-21,5;01.05.2005;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100130;-20;01.08.2017;31.12.2999
2100130;-20;01.08.2017;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
1121130;-33,3;01.10.2021;31.12.2999
1121130;-33,3;01.10.2021;31.12.2999
204018001;-21,5;01.07.2007;31.12.2999
204018001;-21,5;01.07.2007;31.12.2999
212034001;-15;09.09.2019;31.12.2999
212034001;-15;09.09.2019;31.12.2999
1120230;-26,5;01.05.2005;31.12.2999
1120230;-26,5;01.05.2005;31.12.2999
1460550;-33;01.01.2022;31.12.2999
1460550;-33;01.01.2022;31.12.2999
1470010;-28,5;01.04.2019;31.12.2999
1470010;-28,5;01.04.2019;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2080140;-15;28.11.2013;31.12.2999
2080140;-15;28.11.2013;31.12.2999
2170700;-25;23.01.2012;31.12.2999
2170700;-25;23.01.2012;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
1460080;-17;01.05.2005;31.12.2999
1460080;-17;01.05.2005;31.12.2999
1420370;-25,5;01.05.2005;31.12.2999
1420370;-25,5;01.05.2005;31.12.2999
2110050;-25;01.01.2008;31.12.2999
2110050;-25;01.01.2008;31.12.2999
2130240;-15;13.04.2016;31.12.2999
2130240;-15;13.04.2016;31.12.2999
1190240;-25;01.01.2022;31.12.2999
1190240;-25;01.01.2022;31.12.2999
1010510;-21,5;01.04.2018;31.12.2999
1010510;-21,5;01.04.2018;31.12.2999
1440270;-31;01.01.2022;31.12.2999
1440270;-31;01.01.2022;31.12.2999
1330280;-24,5;01.10.2007;31.12.2999
1330280;-24,5;01.10.2007;31.12.2999
1130140;-21,5;01.05.2005;31.12.2999
1130140;-21,5;01.05.2005;31.12.2999
2200050;-25;01.12.2017;31.12.2999
2200050;-25;01.12.2017;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
1380440;-28,5;18.07.2016;31.12.2999
1380440;-28,5;18.07.2016;31.12.2999
1120160;-10;04.09.2020;31.12.2999
1120160;-10;04.09.2020;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
1030240;-28;01.07.2005;31.12.2999
1030240;-28;01.07.2005;31.12.2999
1080470;-34,4;01.10.2021;31.12.2999
1080470;-34,4;01.10.2021;31.12.2999
1460330;-25;01.09.2006;31.12.2999
1460330;-25;01.09.2006;31.12.2999
2110280;-25;01.07.2008;31.12.2999
2110280;-25;01.07.2008;31.12.2999
1340040;-21,5;01.05.2005;31.12.2999
1340040;-21,5;01.05.2005;31.12.2999
1330250;-26,5;01.05.2005;31.12.2999
1330250;-26,5;01.05.2005;31.12.2999
1100560;-31;16.02.2011;31.12.2999
1100560;-31;16.02.2011;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
142037001;-25,5;01.05.2005;31.12.2999
142037001;-25,5;01.05.2005;31.12.2999
2110160;-14;01.05.2005;31.12.2999
2110160;-14;01.05.2005;31.12.2999
1380440;-28,5;18.07.2016;31.12.2999
1380440;-28,5;18.07.2016;31.12.2999
213029001;-17;01.05.2007;31.12.2999
213029001;-17;01.05.2007;31.12.2999
2110050;-25;01.01.2008;31.12.2999
2110050;-25;01.01.2008;31.12.2999
1460550;-33;01.01.2022;31.12.2999
1460550;-33;01.01.2022;31.12.2999
1370130;-27;01.05.2005;31.12.2999
1370130;-27;01.05.2005;31.12.2999
222016001;-14;09.03.2009;31.12.2999
222016001;-14;09.03.2009;31.12.2999
1420370;-25,5;01.05.2005;31.12.2999
1420370;-25,5;01.05.2005;31.12.2999
2100010;-25;01.01.2008;31.12.2999
2100010;-25;01.01.2008;31.12.2999
1260060;-34,4;01.10.2021;31.12.2999
1260060;-34,4;01.10.2021;31.12.2999
1080470;-34,4;01.10.2021;31.12.2999
1080470;-34,4;01.10.2021;31.12.2999
2110030;-34,4;01.10.2021;31.12.2999
2110030;-34,4;01.10.2021;31.12.2999
